lng	lat	count
119.518251	35.683927	1159
119.518251	35.688427	31
119.523751	35.620927	980
119.529251	35.611927	1481
119.529251	35.638927	92
119.529251	35.643427	1127
119.529251	35.656927	1213
119.529251	35.661427	11
119.529251	35.697427	12
119.529251	35.701927	1302
119.529251	36.763927	542
119.534751	35.598427	3
119.534751	35.629927	3
119.534751	35.652427	6
119.534751	35.674927	321
119.534751	36.750427	763
119.540251	35.593927	16
119.540251	35.598427	191
119.540251	35.625427	1183
119.540251	35.629927	15
119.540251	35.674927	375
119.540251	35.679427	44
119.540251	35.697427	652
